timestamp,zona_id,trafico_down_mbps,trafico_up_mbps,latencia_ms,perdida_paquetes_pct
2026-08-01 00:00:00,Z001,2273.31,271.64,13.99,0.082
2026-08-01 01:00:00,Z001,1966.15,191.25,13.54,0.055
2026-08-01 02:00:00,Z001,2171.61,306.33,13.91,0.04
2026-08-01 03:00:00,Z001,2116.18,308.24,15.84,0.098
2026-08-01 04:00:00,Z001,2040.2,254.21,14.46,0.081
2026-08-01 05:00:00,Z001,2138.21,244.95,13.23,0.046
2026-08-01 06:00:00,Z001,2329.41,310.36,13.66,0.091
2026-08-01 07:00:00,Z001,2233.04,346.44,15.05,0.105
2026-08-01 08:00:00,Z001,2198.5,249.49,15.66,0.1
2026-08-01 09:00:00,Z001,2113.56,268.02,15.0,0.017
2026-08-01 10:00:00,Z001,2107.01,264.31,11.69,0.027
2026-08-01 11:00:00,Z001,2180.0,277.67,14.65,0.127
2026-08-01 12:00:00,Z001,2239.04,256.17,12.43,0.068
2026-08-01 13:00:00,Z001,2362.52,310.18,14.32,0.096
2026-08-01 14:00:00,Z001,2555.96,309.6,15.64,0.058
2026-08-01 15:00:00,Z001,2650.92,298.99,14.95,0.05
2026-08-01 16:00:00,Z001,3018.01,277.97,14.71,0.117
2026-08-01 17:00:00,Z001,3789.2,500.89,15.01,0.101
2026-08-01 18:00:00,Z001,4464.24,581.17,13.21,0.074
2026-08-01 19:00:00,Z001,5064.53,582.24,12.12,0.043
2026-08-01 20:00:00,Z001,5635.39,752.81,14.01,0.163
2026-08-01 21:00:00,Z001,5535.98,701.27,15.55,0.112
2026-08-01 22:00:00,Z001,5742.09,781.23,14.07,0.13
2026-08-01 23:00:00,Z001,5340.08,572.55,14.39,0.034
2026-08-02 00:00:00,Z001,2344.78,289.26,15.62,0.077
2026-08-02 01:00:00,Z001,2011.19,320.91,14.16,0.05
2026-08-02 02:00:00,Z001,2307.65,347.39,13.76,0.077
2026-08-02 03:00:00,Z001,2218.01,229.2,13.17,0.133
2026-08-02 04:00:00,Z001,2181.44,234.37,13.46,0.112
2026-08-02 05:00:00,Z001,1999.38,247.56,16.95,0.141
2026-08-02 06:00:00,Z001,2251.12,314.59,15.57,0.076
2026-08-02 07:00:00,Z001,2285.88,335.63,12.48,0.097
2026-08-02 08:00:00,Z001,-100.0,271.11,14.02,0.087
2026-08-02 09:00:00,Z001,2226.7,304.57,14.57,0.075
2026-08-02 10:00:00,Z001,2115.17,238.83,14.31,0.059
2026-08-02 11:00:00,Z001,2300.79,290.94,15.37,0.061
2026-08-02 12:00:00,Z001,2147.36,294.28,14.16,0.074
2026-08-02 13:00:00,Z001,2361.61,306.82,12.49,0.122
2026-08-02 14:00:00,Z001,2372.48,345.2,12.4,0.09
