edad;abandono;viajes;departamento;distancia_casa;educacion;carrera;empleados;id;satisfaccion_entorno;sexo;implicacion;nivel_laboral;puesto;satisfaccion_trabajo;estado_civil;salario_mes;num_empresas_anteriores;mayor_edad;horas_extra;incremento_salario_porc;evaluacion;satisfaccion_companeros;horas_quincena;nivel_acciones;anos_experiencia;num_formaciones_ult_ano;conciliacion;anos_compania;anos_en_puesto;anos_desde_ult_promocion;anos_con_manager_actual
41;Yes;Travel_Rarely;Sales;1;Universitaria;Life Sciences;1;1;Media;M;Alta;2;Sales Executive;Alta;Single;5993;8;Y;Yes;11;Alta;Baja;80;0;8;0;#N/D;6;;0;5
49;No;Travel_Frequently;Research & Development;8;Secundaria;Life Sciences;1;2;Alta;F;Media;2;Research Scientist;Media;Married;5130;1;Y;No;23;Muy_Alta;Muy_Alta;80;1;10;3;#N/D;10;;1;7
37;Yes;Travel_Rarely;Research & Development;2;Secundaria;Other;1;4;Muy_Alta;F;Media;1;Laboratory Technician;Media;Single;2090;6;Y;Yes;15;Alta;Media;80;0;7;3;#N/D;0;2.0;0;0
33;No;Travel_Frequently;Research & Development;3;Universitaria;Life Sciences;1;5;Muy_Alta;M;Alta;1;Research Scientist;Alta;Married;2909;1;Y;Yes;11;Alta;Alta;80;0;8;3;#N/D;8;3.0;3;0
27;No;Travel_Rarely;Research & Development;2;Universitaria;Medical;1;7;Baja;M;Alta;1;Laboratory Technician;Alta;Married;3468;9;Y;No;12;Alta;Muy_Alta;80;1;6;3;#N/D;2;;2;2
32;No;Travel_Frequently;Research & Development;2;Universitaria;Life Sciences;1;8;Muy_Alta;M;Alta;1;Laboratory Technician;Alta;Single;3068;0;Y;No;13;Alta;Alta;80;0;8;2;#N/D;7;;3;6
59;No;Travel_Rarely;Research & Development;3;Master;Medical;1;10;Alta;F;Muy_Alta;1;Laboratory Technician;Muy_Alta;Married;2670;4;Y;Yes;20;Muy_Alta;Baja;80;3;12;3;Muy_Alta;1;;0;0
30;No;Travel_Rarely;Research & Development;24;Universitaria;Life Sciences;1;11;Muy_Alta;M;Alta;1;Laboratory Technician;Alta;Divorced;2693;1;Y;No;22;Muy_Alta;Media;80;1;1;2;#N/D;1;;0;0
38;No;Travel_Frequently;Research & Development;23;Secundaria;Life Sciences;1;12;Muy_Alta;F;Media;3;Manufacturing Director;Media;Single;9526;0;Y;No;21;Muy_Alta;Media;80;0;10;2;#N/D;9;;1;8
36;No;Travel_Rarely;Research & Development;27;Universitaria;Medical;1;13;Alta;M;Alta;2;Healthcare Representative;Alta;Married;5237;6;Y;No;13;Alta;Media;80;2;17;3;Alta;7;;7;7
35;No;Travel_Rarely;Research & Development;16;Master;Medical;1;14;Baja;F;Muy_Alta;1;Laboratory Technician;Muy_Alta;Married;2426;0;Y;No;13;Alta;Alta;80;1;6;5;Muy_Alta;5;;0;3
29;No;Travel_Rarely;Research & Development;15;Secundaria;Life Sciences;1;15;Muy_Alta;F;Media;2;Laboratory Technician;Media;Single;4193;0;Y;Yes;12;Alta;Muy_Alta;80;0;10;3;#N/D;9;2.0;0;8
31;No;Travel_Rarely;Research & Development;26;Universitaria;Life Sciences;1;16;Baja;M;Alta;1;Research Scientist;#N/D;Divorced;2911;1;Y;No;17;Alta;Muy_Alta;80;1;5;1;Alta;5;3.0;4;3
34;No;Travel_Rarely;Research & Development;19;Universitaria;Medical;1;18;Media;M;Alta;1;Laboratory Technician;Alta;Divorced;2661;0;Y;No;11;Alta;Alta;80;1;3;2;Alta;2;;1;2
28;Yes;Travel_Rarely;Research & Development;24;Secundaria;Life Sciences;1;19;Alta;F;Media;1;Laboratory Technician;Media;Single;2028;5;Y;Yes;14;Alta;Media;80;0;6;4;#N/D;4;;0;3
29;No;Travel_Rarely;Research & Development;21;Master;Life Sciences;1;20;Media;F;Muy_Alta;3;Manufacturing Director;Muy_Alta;Divorced;9980;1;Y;No;11;Alta;Alta;80;1;10;1;#N/D;10;;8;8
32;No;Travel_Rarely;Research & Development;5;Master;Life Sciences;1;21;Baja;F;Muy_Alta;1;Research Scientist;Muy_Alta;Divorced;3298;0;Y;Yes;12;Alta;Muy_Alta;80;2;7;5;Muy_Alta;6;;0;5
