periodo,tienda_id,ciudad,canal_principal,ventas_mensuales,clientes,pedidos,visitas_web,inversion_marketing,descuento_promedio,ticket_promedio,satisfaccion,reclamos,tiempo_entrega_dias,costo_logistico,tasa_conversion
2024-01-01,T01,Cusco,Mixto,138521.42,1839,1498,31880,42347.91,8.13,92.64,4.4,10,3.89,13463.16,4.34
2024-02-01,T01,Cusco,Mixto,131347.71,1837,1452,34031,44353.16,8.72,86.74,4.35,8,4.05,9183.76,3.87
2024-03-01,T01,Cusco,Mixto,125321.0,1986,1510,31197,41095.47,11.07,80.51,3.96,19,4.51,12801.02,5.09
2024-04-01,T01,Cusco,Mixto,152746.3,1992,1589,29873,39305.27,7.52,92.62,4.62,9,3.0,14712.22,5.01
2024-05-01,T01,Cusco,Mixto,144961.39,1996,1666,34747,44860.34,5.67,88.29,4.52,8,4.0,10625.89,4.98
2024-06-01,T01,Cusco,Mixto,105047.66,1664,1249,32405,42083.74,17.16,86.6,4.53,5,4.26,12947.86,3.61
2024-07-01,T01,Cusco,Mixto,115169.77,1841,1445,33585,42688.42,9.1,78.55,4.24,13,3.89,18884.86,4.34
2024-08-01,T01,Cusco,Mixto,118894.88,1668,1241,30991,41863.92,6.7,97.87,4.88,7,3.4,14088.54,3.96
2024-09-01,T01,Cusco,Mixto,129191.68,1546,1250,28509,37096.9,9.48,98.06,4.31,11,3.13,14503.19,4.78
2024-10-01,T01,Cusco,Mixto,127552.18,1567,1310,29576,37383.32,5.57,81.98,4.02,23,4.64,13638.18,4.31
2024-11-01,T01,Cusco,Mixto,123652.58,1526,1148,32582,41903.96,8.54,91.6,4.39,11,3.58,15532.3,2.91
2024-12-01,T01,Cusco,Mixto,131102.16,1908,1428,33652,45899.51,8.29,90.62,4.56,7,3.62,17478.59,4.4
2025-01-01,T01,Cusco,Mixto,135684.12,1821,1394,33745,45036.67,5.96,91.53,4.29,18,3.93,21140.55,3.87
2025-02-01,T01,Cusco,Mixto,100933.74,1663,1275,32277,41875.22,7.17,75.73,3.91,21,4.46,9908.93,3.69
2025-03-01,T01,Cusco,Mixto,123547.51,1691,1241,35407,43985.02,14.14,102.95,4.36,10,3.09,14169.87,4.02
2025-04-01,T01,Cusco,Mixto,144640.28,1913,1562,32347,41674.76,5.15,90.4,4.36,11,3.59,13229.85,4.97
2025-05-01,T01,Cusco,Mixto,165852.57,2013,1613,35624,47527.35,9.89,87.14,4.16,18,3.8,18557.22,4.3
2025-06-01,T01,Cusco,Mixto,137090.34,2035,1625,30916,39235.13,10.27,83.57,4.86,5,2.84,14226.05,5.17
2025-07-01,T01,Cusco,Mixto,139520.67,1905,1515,34628,43686.4,12.49,90.21,4.8,0,2.39,15137.85,4.89
2025-08-01,T01,Cusco,Mixto,146610.22,1792,1394,26939,33810.79,12.64,90.48,4.46,11,3.22,16664.27,5.7
2025-09-01,T01,Cusco,Mixto,138943.34,1784,1390,30054,38632.12,5.7,97.3,4.65,9,3.42,17182.79,5.17
2025-10-01,T01,Cusco,Mixto,90472.72,1409,1109,28943,39019.78,10.79,85.12,4.72,6,3.51,5993.55,3.63
2025-11-01,T01,Cusco,Mixto,131271.97,1829,1484,27457,38225.77,10.16,97.61,4.26,12,3.97,16263.09,4.93
2025-12-01,T01,Cusco,Mixto,162514.73,2138,1744,37053,50778.45,12.65,87.95,4.35,10,4.25,16658.52,4.66
2024-01-01,T02,Trujillo,Tienda,163507.9,2209,1677,30745,45494.86,6.7,90.68,4.04,19,4.11,21835.95,5.71
2024-02-01,T02,Trujillo,Tienda,196499.24,2260,1936,32961,49175.22,7.72,93.24,5.0,0,2.2,14623.0,5.39
2024-03-01,T02,Trujillo,Tienda,165029.88,2265,1823,31203,45560.49,9.15,86.08,4.33,11,2.52,16850.32,6.07
2024-04-01,T02,Trujillo,Tienda,171294.63,2339,1802,33168,49428.28,7.9,94.07,4.62,7,3.41,20364.77,4.83
2024-05-01,T02,Trujillo,Tienda,148332.82,1961,1397,29161,43953.01,9.55,94.98,4.28,12,3.71,20314.82,4.82
2024-06-01,T02,Trujillo,Tienda,126430.94,2034,1510,28879,43801.73,13.82,78.96,4.73,3,3.1,14902.08,5.19
2024-07-01,T02,Trujillo,Tienda,158786.1,2292,1771,28163,41950.54,13.2,85.98,4.59,7,2.71,20540.05,6.19
2024-08-01,T02,Trujillo,Tienda,182933.02,2058,1604,26876,37328.65,9.98,100.28,4.39,10,3.51,19131.15,6.29
2024-09-01,T02,Trujillo,Tienda,128335.63,1893,1494,26273,37728.16,3.2,86.47,4.35,9,2.84,20035.5,6.02
2024-10-01,T02,Trujillo,Tienda,133248.06,1864,1446,25068,36762.51,8.05,97.07,4.58,7,3.4,23125.34,5.84
2024-11-01,T02,Trujillo,Tienda,139868.27,1930,1562,30435,45020.57,10.2,83.25,4.38,12,3.21,15794.77,5.05
2024-12-01,T02,Trujillo,Tienda,193640.86,2282,1863,32768,51475.53,7.81,97.39,4.17,13,3.12,14038.16,4.8
2025-01-01,T02,Trujillo,Tienda,174013.73,2393,1919,28526,42528.81,8.17,89.23,4.09,18,3.56,19000.97,6.93
2025-02-01,T02,Trujillo,Tienda,189550.33,2262,1893,29161,44278.61,8.46,100.29,4.95,7,2.81,19206.79,6.57
2025-03-01,T02,Trujillo,Tienda,156235.24,2220,1693,35145,53108.82,10.78,83.57,4.09,12,3.55,13437.46,4.31
2025-04-01,T02,Trujillo,Tienda,180700.06,2263,1776,30977,46050.87,6.18,96.2,4.57,8,3.21,20138.34,5.82
2025-05-01,T02,Trujillo,Tienda,169133.04,2277,1779,35790,54613.96,6.51,90.87,4.46,8,2.73,14181.95,5.24
2025-06-01,T02,Trujillo,Tienda,145239.31,2149,1656,33479,48847.52,8.81,90.07,4.17,15,3.4,10021.69,5.35
2025-07-01,T02,Trujillo,Tienda,189863.9,2213,1772,32372,51802.88,9.0,94.7,4.68,3,2.66,15755.03,5.54
2025-08-01,T02,Trujillo,Tienda,138653.64,1813,1449,33636,47210.17,7.81,87.75,4.59,6,2.39,7701.38,4.46
2025-09-01,T02,Trujillo,Tienda,132127.16,2043,1573,25900,38586.15,10.25,78.85,4.54,6,3.6,14873.48,5.65
2025-10-01,T02,Trujillo,Tienda,111464.33,1736,1288,28822,41269.43,13.06,83.5,4.32,12,3.43,9922.7,4.61
2025-11-01,T02,Trujillo,Tienda,112489.59,1791,1504,25508,38727.23,16.14,84.27,5.0,2,1.97,10306.07,5.84
2025-12-01,T02,Trujillo,Tienda,166626.38,2365,1902,30020,46460.0,12.48,86.28,4.76,7,3.68,11149.76,6.39
2024-01-01,T03,Cusco,Mixto,134482.68,1955,1533,18662,17593.52,9.89,84.48,4.65,9,3.19,12885.94,7.71
2024-02-01,T03,Cusco,Mixto,88328.85,1639,1273,18142,19728.95,10.35,84.98,4.34,12,2.86,10620.03,6.8
2024-03-01,T03,Cusco,Mixto,153859.64,1920,1540,18540,16260.99,8.53,94.11,4.3,15,4.03,14441.4,8.17
2024-04-01,T03,Cusco,Mixto,140649.32,1963,1648,17530,19194.17,8.31,95.72,4.46,8,3.57,12059.81,8.71
2024-05-01,T03,Cusco,Mixto,118063.75,1669,1305,17896,17391.21,8.84,94.71,4.15,13,3.67,14779.79,7.23
2024-06-01,T03,Cusco,Mixto,129109.59,1794,1463,18554,21857.1,5.6,81.77,4.27,12,3.79,10317.89,7.85
2024-07-01,T03,Cusco,Mixto,78993.88,1520,1103,19888,23960.1,14.15,77.48,4.06,20,4.6,10075.6,5.71
2024-08-01,T03,Cusco,Mixto,141122.6,1642,1307,17496,17300.3,2.71,97.37,3.81,23,4.24,8737.92,7.5
2024-09-01,T03,Cusco,Mixto,147133.9,1844,1490,18199,20189.83,8.16,84.18,4.49,12,3.31,19203.49,7.91
2024-10-01,T03,Cusco,Mixto,106691.53,1645,1328,19454,19694.76,10.78,89.78,4.32,12,4.15,10145.24,6.44
2024-11-01,T03,Cusco,Mixto,132995.78,1857,1556,20320,22592.96,9.57,80.85,4.03,20,4.54,10136.04,7.64
2024-12-01,T03,Cusco,Mixto,145344.49,2177,1778,19208,21037.46,11.43,80.55,4.26,12,3.94,11067.0,9.41
2025-01-01,T03,Cusco,Mixto,87972.21,1435,1126,19385,20095.05,9.11,83.71,4.29,14,4.38,11874.52,6.19
2025-02-01,T03,Cusco,Mixto,120756.06,1790,1334,20167,23305.08,7.38,91.23,4.22,13,3.92,14309.82,6.49
2025-03-01,T03,Cusco,Mixto,116566.52,1886,1416,18763,21255.99,3.07,79.77,3.77,27,4.59,12833.82,7.91
2025-04-01,T03,Cusco,Mixto,152157.87,1833,1550,12470,12174.23,6.5,88.43,4.23,17,3.59,14673.09,13.0
2025-05-01,T03,Cusco,Mixto,153133.42,2101,1654,19026,20588.7,11.38,85.25,4.87,5,4.0,14468.49,8.96
2025-06-01,T03,Cusco,Mixto,105089.38,1818,1437,18710,19884.62,10.87,79.82,3.83,24,4.03,12172.22,7.47
2025-07-01,T03,Cusco,Mixto,123471.01,1651,1278,19676,23009.74,9.18,93.41,4.37,7,3.77,6521.95,6.49
2025-08-01,T03,Cusco,Mixto,109284.05,1583,1249,16861,17193.75,5.72,82.98,3.89,26,4.32,10918.6,6.66
2025-09-01,T03,Cusco,Mixto,80522.08,1365,1042,12791,11758.37,11.94,82.53,4.24,15,3.82,5000.0,8.26
2025-10-01,T03,Cusco,Mixto,109258.81,1503,1290,16046,17286.87,5.42,89.94,3.83,24,4.93,14182.81,8.21
2025-11-01,T03,Cusco,Mixto,122794.87,1672,1396,16875,15220.21,3.73,91.35,4.47,10,4.09,11506.17,8.23
2025-12-01,T03,Cusco,Mixto,164144.16,1945,1564,22787,27315.55,13.26,92.88,4.29,13,3.84,19141.37,6.52
2024-01-01,T04,Arequipa,Mixto,129995.54,1739,1430,32596,42520.79,12.36,89.02,4.48,9,3.59,5000.0,4.5
2024-02-01,T04,Arequipa,Mixto,115013.47,1306,1061,26995,33267.18,12.84,84.8,4.67,5,2.46,13255.74,4.42
2024-03-01,T04,Arequipa,Mixto,129195.43,1594,1252,35038,46928.05,6.92,97.93,4.81,3,2.35,12665.59,3.64
2024-04-01,T04,Arequipa,Mixto,104193.54,1631,1221,37509,49056.01,10.24,91.11,4.37,10,2.87,13675.89,3.37
2024-05-01,T04,Arequipa,Mixto,141509.87,1549,1245,35751,48531.1,13.14,98.95,4.85,4,2.83,15671.09,3.71
