cliente_id,zona_id,plan_mbps,estado,fecha_alta
C000001,Z001,300,ACTIVO,2025-01-24
C000002,Z001,300,ACTIVO,2026-02-11
C000003,Z001,600,Activo,2025-10-07
C000004,Z001,100,ACTIVO,2025-12-08
C000005,Z001,200, activo ,2025-12-04
C000006,Z001,500,ACTIVO,2025-08-02
C000007,Z001,100,ACTIVO,2026-03-10
C000008,Z001,500,Activo,2024-02-27
C000009,Z001,300,ACTIVO,2024-03-02
C000010,Z001,500,Activo,2026-05-23
C000011,Z001,100,ACTIVO,2025-03-24
C000012,Z001,100,Activo,2024-02-09
C000013,Z001,300,SUSPENDIDO,2025-01-04
C000014,Z001,200,ACTIVO,2024-10-20
C000015,Z001,100,ACTIVO,2025-09-09
C000016,Z001,100,Activo,2025-03-04
C000017,Z001,200, activo ,2025-07-20
C000018,Z001,200, activo ,2025-09-22
C000019,Z001,500,ACTIVO,2026-03-19
C000020,Z001,300,ACTIVO,2024-09-16
C000021,Z001,100,ACTIVO,2025-12-18
C000022,Z001,300,Activo,2025-12-09
C000023,Z001,300,ACTIVO,2025-03-31
C000024,Z001,100,ACTIVO,2025-05-26
C000025,Z001,300,ACTIVO,2026-02-08
C000026,Z001,300,Activo,2025-05-23
C000027,Z001,300,ACTIVO,2025-12-16
C000028,Z001,100,ACTIVO,2024-09-30
C000029,Z001,100,ACTIVO,2026-06-12
C000030,Z001,100,ACTIVO,2026-02-07
C000031,Z001,200,ACTIVO,2025-01-25
C000032,Z001,300, activo ,2025-08-18
C000033,Z001,300,ACTIVO,2025-01-11
C000034,Z001,100,ACTIVO,2026-01-02
C000035,Z001,100,Activo,2025-09-19
C000036,Z001,100,ACTIVO,2025-02-19
C000037,Z001,100,Activo,2025-03-22
C000038,Z001,200,ACTIVO,2025-02-05
C000039,Z001,300,ACTIVO,2026-05-13
C000040,Z001,100,SUSPENDIDO,2024-03-19
C000041,Z001,500,Activo,2025-02-15
C000042,Z001,600,Activo,2024-08-27
C000043,Z001,300,ACTIVO,2025-10-25
C000044,Z001,100, activo ,2024-09-02
C000045,Z001,200,ACTIVO,2025-10-11
C000046,Z001,300,ACTIVO,2024-10-02
C000047,Z001,500,Activo,2025-03-19
C000048,Z001,200,Activo,2025-10-09
C000049,Z001,300,Activo,2025-07-19
C000050,Z001,200,ACTIVO,2024-03-16
C000051,Z001,200,ACTIVO,2025-08-17
C000052,Z001,100,ACTIVO,2024-05-10
C000053,Z001,100, activo ,2026-06-09
C000054,Z001,200,ACTIVO,2025-06-06
C000055,Z001,100,SUSPENDIDO,2025-01-11
C000056,Z001,300,ACTIVO,2025-03-10
C000057,Z001,200,ACTIVO,2025-02-01
C000058,Z001,300,ACTIVO,2026-04-24
C000059,Z001,200,ACTIVO,2025-05-05
C000060,Z001,200,ACTIVO,2025-04-13
C000061,Z001,500, activo ,2025-05-03
C000062,Z001,300,ACTIVO,2024-05-06
C000063,Z001,300,ACTIVO,2024-08-07
C000064,Z001,300,Activo,2025-08-16
C000065,Z001,100, activo ,2026-05-27
C000066,Z001,100,ACTIVO,2024-07-26
C000067,Z001,200, activo ,2025-02-18
C000068,Z001,200,SUSPENDIDO,2025-12-28
C000069,Z001,200,ACTIVO,2026-03-25
C000070,Z001,500,ACTIVO,2024-08-18
C000071,Z001,100,ACTIVO,2026-05-22
C000072,Z001,500,Activo,2026-06-12
C000073,Z001,500, activo ,2024-04-14
C000074,Z001,200,Activo,2025-04-11
C000075,Z001,300,ACTIVO,2026-03-08
C000076,Z001,300,ACTIVO,2024-03-26
C000077,Z001,500,ACTIVO,2024-01-29
C000078,Z001,500,ACTIVO,2024-04-20
C000079,Z001,100,ACTIVO,2025-10-09
C000080,Z001,100,ACTIVO,2026-02-26
C000081,Z001,300,SUSPENDIDO,2025-03-25
C000082,Z001,100,ACTIVO,2025-03-26
C000083,Z001,100,ACTIVO,2024-01-17
C000084,Z001,100,ACTIVO,2025-09-01
C000085,Z001,300,ACTIVO,2025-01-10
C000086,Z001,500,Activo,2024-06-28
C000087,Z001,300,ACTIVO,2025-01-25
C000088,Z001,500,ACTIVO,2024-04-21
C000089,Z001,200,ACTIVO,2025-04-02
C000090,Z001,600,ACTIVO,2025-08-19
C000091,Z001,500,ACTIVO,2025-06-21
C000092,Z001,300,ACTIVO,2025-05-14
C000093,Z001,100,ACTIVO,2024-01-06
C000094,Z001,300, activo ,2026-05-19
C000095,Z001,500,ACTIVO,2025-07-24
C000096,Z001,100,ACTIVO,2025-12-07
C000097,Z001,500, activo ,2025-02-20
C000098,Z001,200,Activo,2024-07-28
C000099,Z001,500,Activo,2024-09-17
C000100,Z001,200,ACTIVO,2025-01-06
C000101,Z001,300, activo ,2024-09-03
C000102,Z001,200,ACTIVO,2025-02-12
C000103,Z001,300, activo ,2026-05-13
C000104,Z001,100,ACTIVO,2024-04-04
C000105,Z001,100, activo ,2024-10-13
C000106,Z001,100, activo ,2024-10-06
C000107,Z001,100,ACTIVO,2025-06-03
C000108,Z001,100,ACTIVO,2024-05-18
C000109,Z001,100,ACTIVO,2026-01-17
C000110,Z001,300,Activo,2024-02-18
C000111,Z001,200,ACTIVO,2026-06-04
C000112,Z001,500, activo ,2025-03-30
C000113,Z001,100,ACTIVO,2026-03-11
C000114,Z001,200,ACTIVO,2024-08-01
C000115,Z001,200,ACTIVO,2024-01-07
C000116,Z001,200,ACTIVO,2024-12-02
C000117,Z001,500,ACTIVO,2024-12-29
C000118,Z001,100, activo ,2026-04-12
C000119,Z001,500,SUSPENDIDO,2024-10-15
