id_producto,nombre_producto,categoria,precio_lista,costo
P001,PeruPC AUDIO Basic 001,AUDIO,864.0,512.07
P002,AndinaTech TABLET Ultra 002,TABLET,900.0,571.3
P003,TechNova MONITOR Pro 003,MONITOR,538.0,369.12
P004,TechNova TABLET Lite 004, tablet,693.0,445.91
P005,AndinaTech AUDIO Ultra 005,AUDIO,497.0,324.89
P006,TechNova ACCESORIO Max 006,ACCESORIO,210.0,135.89
P007,PeruPC MONITOR Neo 007,MONITOR,1014.0,695.61
P008,MaxDigital LAPTOP Max 008,LAPTOP,1970.0,1226.84
P009,AndinaTech TABLET Max 009,TABLET,428.0,273.38
P010,TechNova LAPTOP Pro 010,LAPTOP,2954.0,1918.52
P011,PeruPC TABLET Basic 011,TABLET,1030.0,736.04
P012,TechNova AUDIO Neo 012,,658.0,403.38
P013,PeruPC CELULAR Air 013,CELULAR,2204.0,1502.99
P014,PeruPC LAPTOP Basic 014,LAPTOP,3667.0,2073.15
P015,AndinaTech LAPTOP Air 015,LAPTOP,2307.0,1568.11
P016,TechNova LAPTOP Basic 016,LAPTOP,3671.0,2441.64
P017,TechNova LAPTOP Lite 017,LAPTOP,4355.0,2516.88
P018,TechNova CELULAR Basic 018,CELULAR,1812.0,1180.11
P019,TechNova TABLET Max 019,TABLET,1054.0,707.1
P020,TechNova MONITOR Neo 020,MONITOR,1123.0,791.03
P021,PeruPC CELULAR Basic 021,CELULAR,1809.0,1132.17
P022,PeruPC TABLET Basic 022,TABLET,469.0,315.48
P023,MaxDigital TABLET Ultra 023,TABLET,813.0,448.76
P024,TechNova TABLET Ultra 024,TABLET,949.0,598.97
P025,PeruPC AUDIO Neo 025,AUDIO,867.0,592.48
P026,MaxDigital MONITOR Basic 026,MONITOR,1159.0,723.14
P027,PeruPC CELULAR Neo 027,CELULAR,2485.0,1537.99
P028,AndinaTech MONITOR Air 028,MONITOR,488.0,294.26
P029,AndinaTech CELULAR Lite 029,CELULAR,1613.0,915.33
P030,PeruPC TABLET Neo 030,TABLET,1144.0,709.24
P031,PeruPC CELULAR Basic 031,CELULAR,1742.0,972.61
P032,PeruPC LAPTOP Lite 032,LAPTOP,3954.0,2569.0
P033,PeruPC CELULAR Plus 033,CELULAR,899.0,558.61
P034,PeruPC MONITOR Pro 034,MONITOR,1147.0,784.46
