id_venta,fecha,id_cliente,id_producto,sucursal,cantidad,precio_unitario,metodo_pago
V0001,2024-01-10,C0182,P251,TRUJILLO,5.0,2521.0,EFECTIVO
V0002,no registrada,C0044,P116,LIMA,5.0,1217.0,TRANSFERENCIA
V0003,2024-01-26,C0143,P247,CUSCO,2.0,2514.0,TRANSFERENCIA
V0004,2024-05-26,C0302,P094,CUSCO,8.0,1742.0,TARJETA
V0005,2024-02-27,C0244,P265,TRUJILLO,9.0,1652.0,EFECTIVO
V0006,13/04/2024,C0082,P098,TRUJILLO,9.0,1420.0,tarjeta
V0007,2024-06-06,C0251,P289,LIMA,1.0,2794.0,TRANSFERENCIA
V0008,2024-01-17,C9999,P131,TRUJILLO,6.0,1890.0,TARJETA
V0009,2024-05-15,C0180,P119,AREQUIPA,7.0,2821.0,EFECTIVO
V0010,2024-06-24,C0094,,LIMA,2.0,1226.0,TRANSFERENCIA
V0011,2024-05-10,C0109,P299,CUSCO,8.0,2108.0,TRANSFERENCIA
V0012,2024-06-08,C0290,P224,TRUJILLO,4.0,646.0,EFECTIVO
V0013,2024-06-04,C0205,P292,CUSCO,10.0,1621.0,efectivo
V0014,2024-05-05,C0018,P240,AREQUIPA,1.0,380.0,EFECTIVO
V0015,2024-05-18,C0250,P273, trujillo,1.0,2685.0,EFECTIVO
V0016,2024-01-17,C0057,P082,CUSCO,1.0,2114.0,TARJETA
V0017,2024-02-04,C0032,P083,CUSCO,10.0,390.0,TARJETA
V0018,2024-05-08,C0148,P180,LIMA,8.0,2556.0,EFECTIVO
V0019,2024-03-12,,P282,TRUJILLO,10.0,487.0,TARJETA
V0020,2024-03-11,C0124,P121, cusco,7.0,2428.0,TRANSFERENCIA
V0021,2024-03-25,C0124,P166,LIMA,5.0,2209.0,TARJETA
V0022,2024-04-25,C0115,P187,CUSCO,4.0,1893.0,EFECTIVO
V0023,2024-02-02,C0275,P242,AREQUIPA,6.0,941.0,EFECTIVO
V0024,2024-05-05,C0126,P208,LIMA,4.0,444.0,EFECTIVO
V0025,2024-04-14,C0290,P109,LIMA,1.0,588.0,TARJETA
V0026,2024-06-29,C0097,P156,TRUJILLO,5.0,1671.0,EFECTIVO
V0027,2024-01-28,C0209,P275,TRUJILLO,7.0,320.0,EFECTIVO
V0028,2024-06-30,C0224,P199,LIMA,8.0,,TARJETA
V0029,2024-03-06,C0306,P079,AREQUIPA,4.0,1201.0,EFECTIVO
V0030,2024-02-24,C0306,P269,LIMA,8.0,2397.0,efectivo
V0031,2024-02-16,C0142,P271,CUSCO,2.0,1598.0,TRANSFERENCIA
V0032,2024-02-28,C0214,P098,AREQUIPA,3.0,1585.0,TARJETA
V0033,2024-06-27,C0309,,AREQUIPA,10.0,263.0,EFECTIVO
V0034,2024-05-19,C0054,P002,LIMA,1.0,266.0,EFECTIVO
V0035,2024-05-13,C0014,P290, lima,1.0,597.0,TARJETA
V0036,2024-06-23,C0133,P023,AREQUIPA,10.0,2466.0,EFECTIVO
V0037,2024-01-21,C0142,P241,AREQUIPA,9.0,2992.0,EFECTIVO
V0038,2024-04-24,C0269,P039,TRUJILLO,2.0,2573.0,
V0039,2024-05-10,C0184,P009,LIMA,1.0,746.0,EFECTIVO
V0040,2024-04-24,C0204,P287,AREQUIPA,4.0,1541.0,TARJETA
V0041,2024-06-29,C0055,P002,CUSCO,4.0,154.0,TRANSFERENCIA
V0042,2024-03-18,C0156,P100,LIMA,8.0,2312.0,TARJETA
V0043,2024-01-22,C0168,P058,TRUJILLO,5.0,1279.0,TARJETA
V0044,2024-03-06,C0128,P079, trujillo,2.0,1493.0,TARJETA
V0045,2024-01-24,C0084,P060,TRUJILLO,4.0,1774.0,TARJETA
V0046,2024-05-27,C0274,P152,TRUJILLO,7.0,638.0,EFECTIVO
V0047,2024-01-09,C0085,P260,LIMA,8.0,726.0,EFECTIVO
V0048,2024-04-23,C0053,P114,AREQUIPA,4.0,360.0,TARJETA
V0049,2024-02-08,C0126,P133,AREQUIPA,10.0,1738.0,TRANSFERENCIA
V0050,2024-05-16,C0176,P175,LIMA,5.0,193.0,EFECTIVO
V0051,2024-02-02,C0262,P294,LIMA,6.0,547.0,TARJETA
V0052,2024-01-25,C0192,P243,LIMA,8.0,1256.0,TRANSFERENCIA
V0053,2024-03-26,C0285,P285,AREQUIPA,2.0,,TARJETA
V0054,2024-04-28,,P068,CUSCO,,971.0,EFECTIVO
V0055,2024-04-27,C0220,P195,LIMA,6.0,78.0,TARJETA
V0056,2024-04-05,,P248, trujillo,10.0,1208.0,EFECTIVO
V0057,2024-02-22,C0111,P247,LIMA,8.0,2729.0,TARJETA
V0058,2024-02-09,C0145,P173,TRUJILLO,9.0,2444.0,EFECTIVO
V0059,2024-01-11,C0163,P116,CUSCO,4.0,1207.0,TARJETA
V0060,2024-04-19,C0259,P292,CUSCO,,343.0,efectivo
V0061,2024-01-01,C0295,P131,AREQUIPA,8.0,2467.0,TRANSFERENCIA
V0062,2024-06-30,C0169,P079,LIMA,2.0,369.0,EFECTIVO
V0063,2024-06-22,C0169,P224, lima,4.0,388.0,TRANSFERENCIA
V0064,2024-04-23,C0297,P011,AREQUIPA,10.0,,TRANSFERENCIA
V0065,2024-03-06,C0201,P179,TRUJILLO,4.0,1144.0,EFECTIVO
V0066,2024-03-12,C0022,P090,CUSCO,9.0,2119.0,EFECTIVO
V0067,13/01/2024,C0027,P277, arequipa,4.0,1676.0,TARJETA
V0068,2024-05-30,C0186,P070, arequipa,7.0,2050.0,EFECTIVO
V0069,2024-06-30,C0280,P191,AREQUIPA,1.0,1458.0,TARJETA
V0070,2024-04-13,C0109,P142,CUSCO,9.0,681.0,tarjeta
V0071,2024-03-27,C0320,P071,TRUJILLO,9.0,1591.0,TARJETA
V0072,2024-04-20,C0153,P208,LIMA,4.0,2342.0,EFECTIVO
V0073,2024-05-15,C0311,P068,CUSCO,6.0,2432.0,TARJETA
V0074,20/02/2024,C0006,P213,TRUJILLO,3.0,2790.0,TRANSFERENCIA
V0075,2024-03-18,C0011,P182,AREQUIPA,8.0,847.0,
V0076,2024-02-06,C0208,P002,CUSCO,4.0,351.0,EFECTIVO
V0077,2024-05-14,C0143,P162,LIMA,,,EFECTIVO
V0078,2024-02-26,C0017,P283,CUSCO,1.0,997.0,TRANSFERENCIA
V0079,2024-05-19,C0060,P193,LIMA,1.0,578.0,TRANSFERENCIA
V0080,2024-05-23,C0011,P212,AREQUIPA,6.0,714.0,TRANSFERENCIA
V0081,2024-05-26,C0289,P167,TRUJILLO,2.0,2780.0,EFECTIVO
V0082,2024-03-14,C0260,P193, cusco,7.0,2826.0,TARJETA
V0083,2024-03-03,C0235,P088,AREQUIPA,6.0,2533.0,TARJETA
V0084,2024-02-13,C0125,P151,AREQUIPA,5.0,1537.0,TRANSFERENCIA
V0085,2024-02-20,C0301,P005,AREQUIPA,10.0,2761.0,TRANSFERENCIA
V0086,2024-04-08,C0190,P092,CUSCO,9.0,1755.0,EFECTIVO
V0087,2024-01-16,C0157,P298,AREQUIPA,10.0,1811.0,transferencia
V0088,2024-02-12,C0270,P086,CUSCO,1.0,981.0,EFECTIVO
V0089,2024-05-16,C0006,P142,TRUJILLO,1.0,2833.0,EFECTIVO
V0090,2024-06-08,C0305,P166,TRUJILLO,7.0,602.0,TRANSFERENCIA
V0091,2024-02-14,C0103,P192,AREQUIPA,6.0,1666.0,EFECTIVO
V0092,2024-01-18,C0123,P005,TRUJILLO,8.0,2451.0,EFECTIVO
V0093,2024-04-27,C0179,P101,AREQUIPA,8.0,2925.0,EFECTIVO
V0094,22/01/2024,C0115,P272,AREQUIPA,7.0,1740.0,TARJETA
V0095,2024-02-15,C0230,P138,AREQUIPA,5.0,2892.0,TARJETA
V0096,2024-05-12,C0146,P236,CUSCO,9.0,2452.0,TARJETA
V0097,2024-01-30,C0075,P019,TRUJILLO,,1342.0,EFECTIVO
V0098,2024-05-30,C0219,P027,LIMA,6.0,2487.0,EFECTIVO
V0099,2024-05-06,C0205,P080,LIMA,10.0,759.0,TARJETA
V0100,2024-03-01,C0232,P243,LIMA,6.0,547.0,TRANSFERENCIA
V0101,2024-01-28,C0112,P179,LIMA,2.0,982.0,EFECTIVO
V0102,2024-03-31,C0201,P010,LIMA,1.0,387.0,EFECTIVO
V0103,2024-05-10,C0115,P235,CUSCO,8.0,2158.0,EFECTIVO
V0104,2024-01-10,C0225,P283,TRUJILLO,3.0,697.0,EFECTIVO
V0105,2024-01-16,C0298,P212,CUSCO,4.0,2259.0,EFECTIVO
V0106,2024-05-12,C0171,P125,LIMA,6.0,1551.0,efectivo
V0107,2024-02-21,C0082,P236,CUSCO,,2373.0,TARJETA
V0108,2024-05-23,C0236,P141,AREQUIPA,2.0,376.0,TRANSFERENCIA
V0109,2024-02-18,C0101,P251,CUSCO,9.0,2333.0,EFECTIVO
V0110,2024-05-11,C0237,,CUSCO,2.0,897.0,TRANSFERENCIA
V0111,2024-02-27,C0061,P097,CUSCO,1.0,2316.0,EFECTIVO
V0112,2024-03-12,C0050,P142,TRUJILLO,9.0,1140.0,TARJETA
V0113,2024-01-05,C0235,P215,AREQUIPA,,1607.0,TRANSFERENCIA
V0114,2024-03-07,C0154,P202,LIMA,3.0,2024.0,TRANSFERENCIA
V0115,2024-03-26,C0315,P132,LIMA,1.0,1829.0,TARJETA
V0116,2024-03-17,C0087,P224,CUSCO,4.0,842.0,EFECTIVO
V0117,2024-05-10,C0019,P225,LIMA,7.0,2614.0,EFECTIVO
V0118,2024-04-18,C0209,P143,AREQUIPA,4.0,748.0,EFECTIVO
V0119,2024-05-16,C0098,P080,TRUJILLO,6.0,2699.0,EFECTIVO
V0120,2024-02-09,C0024,P219,TRUJILLO,7.0,1990.0,EFECTIVO
V0121,20/06/2024,C0054,P294,TRUJILLO,65.0,2329.0,EFECTIVO
V0122,2024-01-28,C0238,P093,AREQUIPA,4.0,2667.0,EFECTIVO
V0123,2024-01-14,C0297,P252,CUSCO,8.0,306.0,TARJETA
