Departamento,Total,Hombres,Mujeres
AMAZONAS,382398,192861,189537
ÁNCASH,1086021,534551,551470
APURÍMAC,406981,200729,206252
AREQUIPA,1373793,674380,699413
AYACUCHO,616449,303869,312580
CAJAMARCA,1351149,662030,689119
PROV. CONSTITUCIONAL DEL CALLAO,985510,481781,503729
CUSCO,1205341,597287,608054
HUANCAVELICA,353838,171672,182166
HUÁNUCO,725848,359079,366769
ICA,838645,412369,426276
JUNÍN,1245718,608282,637436
LA LIBERTAD,1769057,862537,906520
LAMBAYEQUE,1190356,575879,614477
LIMA,9465009,4621125,4843884
LIMA PROVINCIA,8565213,4171712,4393501
LIMA REGIÓN,899764,449398,450366
LIMA OTROS,32,15,17
DPTO. LORETO,888824,446118,442706
DPTO. MADRE DE DIOS,139257,72912,66345
DPTO. MOQUEGUA,174583,87936,86647
DPTO. PASCO,255937,128833,127104
DPTO. PIURA,1855605,917946,937659
DPTO. PUNO,1176860,580275,596585
DPTO. SAN MARTÍN,812604,414481,398123
DPTO. TACNA,327290,163125,164165
DPTO. TUMBES,224248,113061,111187
DPTO. UCAYALI,495794,250301,245493
EXTRANJERO,34769,17338,17431
