atributo,grupo,solicitudes,fraudes,legitimas,fraudes_capturados,legitimas_revisadas,tasa_revision,recall,fpr
grupo_edad,50 o más,33779,989,32790,545,2744,0.09736818733532668,0.5510616784630941,0.08368405001524855
grupo_edad,Menor de 50,171232,1889,169343,770,6193,0.04066412820033639,0.4076230809952356,0.036570746945548384
grupo_ingreso,Deciles hasta 0.3,42405,309,42096,127,1186,0.03096332979601462,0.4110032362459547,0.028173698213606994
grupo_ingreso,Deciles 0.4–0.6,24816,230,24586,99,826,0.037274339136041265,0.43043478260869567,0.03359635564955666
grupo_ingreso,Deciles 0.7–0.9,137790,2339,135451,1089,6925,0.058160969591407215,0.46558358272766137,0.05112549925803427
employment_status,CA,158709,2413,156296,1128,7222,0.052612013181357074,0.4674678823041857,0.04620719660132057
employment_status,CB,22838,216,22622,84,965,0.045932218232769946,0.3888888888888889,0.042657589956679336
employment_status,CC,6511,202,6309,90,460,0.08447243127015819,0.44554455445544555,0.07291171342526549
employment_status,CD,4517,13,4504,4,100,0.023024131060438345,0.3076923076923077,0.022202486678507993
employment_status,CE,4550,15,4535,5,87,0.02021978021978022,0.3333333333333333,0.01918412348401323
employment_status,CF,7805,17,7788,3,93,0.012299807815502883,0.17647058823529413,0.011941448382126348
employment_status,CG,81,2,79,1,10,0.13580246913580246,0.5,0.12658227848101267
