prioridad,id,probabilidad_churn,churn_real,contactar,fraccion_clientes,recall_acumulado
1,63987,0.9996389931647209,1,True,7.142857142857143e-05,0.0007012622720897616
2,34127,0.9982875778367236,0,True,0.00014285714285714287,0.0007012622720897616
3,28442,0.990830397134272,1,True,0.00021428571428571427,0.001402524544179523
4,9948,0.9902689808089725,1,True,0.00028571428571428574,0.0021037868162692847
5,491,0.9902379635943296,1,True,0.00035714285714285714,0.002805049088359046
6,54535,0.9885040087211764,1,True,0.00042857142857142855,0.0035063113604488078
7,37420,0.9876007912368567,1,True,0.0005,0.004207573632538569
8,28509,0.9817162621645856,1,True,0.0005714285714285715,0.004908835904628331
9,9977,0.9791524585143454,1,True,0.0006428571428571428,0.005610098176718092
10,60845,0.9771297783764884,1,True,0.0007142857142857143,0.006311360448807854
11,29349,0.9724223349744032,1,True,0.0007857142857142857,0.0070126227208976155
12,47884,0.9692285994356363,1,True,0.0008571428571428571,0.007713884992987377
13,58065,0.967483496508839,1,True,0.0009285714285714286,0.008415147265077139
14,27607,0.9658938229663626,1,True,0.001,0.0091164095371669
15,34164,0.964667845438987,1,True,0.0010714285714285715,0.009817671809256662
16,65554,0.9641039476863287,1,True,0.001142857142857143,0.010518934081346423
17,60345,0.9628655710972029,0,True,0.0012142857142857142,0.010518934081346423
18,56546,0.9624695958835525,1,True,0.0012857142857142856,0.011220196353436185
19,31705,0.9561430873522926,1,True,0.0013571428571428571,0.011921458625525946
20,10323,0.9540324722538477,1,True,0.0014285714285714286,0.012622720897615708
21,59634,0.9535903697764848,1,True,0.0015,0.01332398316970547
22,66299,0.9493637766858202,1,True,0.0015714285714285715,0.014025245441795231
23,18992,0.9467441963799496,1,True,0.001642857142857143,0.014726507713884993
24,27674,0.9448231754097693,1,True,0.0017142857142857142,0.015427769985974754
25,52380,0.9441949804320703,1,True,0.0017857142857142857,0.016129032258064516
26,34723,0.9418952192717549,1,True,0.0018571428571428571,0.016830294530154277
27,46162,0.9396830923969068,1,True,0.0019285714285714286,0.01753155680224404
28,4666,0.9380537453404005,1,True,0.002,0.0182328190743338
29,11326,0.9363676604136307,1,True,0.0020714285714285713,0.018934081346423562
30,6039,0.9356351968921318,1,True,0.002142857142857143,0.019635343618513323
31,51755,0.9348018871577005,0,True,0.002214285714285714,0.019635343618513323
32,26216,0.934757267279464,1,True,0.002285714285714286,0.020336605890603085
33,57297,0.9320712438950935,1,True,0.002357142857142857,0.021037868162692847
34,30014,0.9305573479574551,1,True,0.0024285714285714284,0.021739130434782608
35,38607,0.9302888437244493,1,True,0.0025,0.02244039270687237
36,1728,0.9298682673227174,1,True,0.0025714285714285713,0.02314165497896213
37,27336,0.9291076967922688,0,True,0.002642857142857143,0.02314165497896213
38,66323,0.9264846634249687,1,True,0.0027142857142857142,0.023842917251051893
39,10447,0.926325972429188,1,True,0.002785714285714286,0.024544179523141654
40,7187,0.9262812328693811,1,True,0.002857142857142857,0.025245441795231416
41,27454,0.9258609983378785,1,True,0.0029285714285714284,0.025946704067321177
42,51935,0.9256805705494623,1,True,0.003,0.02664796633941094
43,7235,0.9228368520152384,1,True,0.0030714285714285713,0.0273492286115007
44,41468,0.9224185532267772,1,True,0.003142857142857143,0.028050490883590462
45,26750,0.9219831496954503,1,True,0.0032142857142857142,0.028751753155680224
46,11406,0.9219624137304987,1,True,0.003285714285714286,0.029453015427769985
47,64245,0.9217067952897273,1,True,0.003357142857142857,0.030154277699859747
48,58503,0.9206700334170456,1,True,0.0034285714285714284,0.030855539971949508
49,58299,0.9202438128583986,1,True,0.0035,0.03155680224403927
50,35874,0.9202041311762795,1,True,0.0035714285714285713,0.03225806451612903
51,31615,0.9185936564591386,1,True,0.003642857142857143,0.03295932678821879
52,46687,0.9162029419180321,1,True,0.0037142857142857142,0.033660589060308554
53,21075,0.9155674747864251,1,True,0.003785714285714286,0.034361851332398316
54,27944,0.9142518776015359,1,True,0.003857142857142857,0.03506311360448808
55,12350,0.9119870195242044,1,True,0.003928571428571429,0.03576437587657784
56,50669,0.911951451768447,1,True,0.004,0.0364656381486676
57,21369,0.9110558887180191,1,True,0.004071428571428571,0.03716690042075736
58,38443,0.9108593249299766,1,True,0.004142857142857143,0.037868162692847124
59,68936,0.9100783277196454,1,True,0.004214285714285715,0.038569424964936885
60,69005,0.908235518786445,1,True,0.004285714285714286,0.03927068723702665
61,64065,0.9070545287503259,1,True,0.004357142857142857,0.03997194950911641
62,68291,0.9064647090041642,1,True,0.004428571428571428,0.04067321178120617
63,65655,0.9060614691765423,1,True,0.0045,0.04137447405329593
64,3225,0.905888607216124,1,True,0.004571428571428572,0.04207573632538569
65,50803,0.9038268251702896,0,True,0.004642857142857143,0.04207573632538569
